mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
M,50,10,15,1.50X,22,1.50X,4,6.3,12.3,-2.86,0.61,4.48,4.48,4.48,8.96,96,0.77,0.02,777,0.05,755,0.24
M,50,10,15,1.50X,22,1.50X,5,11.61,18.44,-8.59,0.52,3.54,3.54,3.54,7.08,23,0.07,0,1874,0,40,0.12
M,50,10,15,1.50X,22,1.50X,6,9.28,17.23,-17.19,0.49,3.65,3.65,3.65,7.29,51,0.64,0.01,1475,0.03,394,0.46
M,50,10,15,1.50X,22,1.50X,7,8.74,15.33,-13.03,0.55,4.22,4.22,4.22,8.43,119,0.9,0.02,1169,0.02,431,0.18
M,50,10,15,1.50X,22,1.50X,8,8.54,15.09,-31.15,0.51,5.11,5.11,5.11,10.22,93,0.99,0.02,1326,0.04,632,0.38
M,50,10,15,1.50X,22,1.50X,9,10.34,18.65,-2.58,0.48,3.09,3.09,3.09,6.18,89,0.76,0.02,730,0.03,621,0.32
V,100,10,15,1.50X,22,1.50X,0,1.2,2.34,-84.21,0.39,10.76,10.76,10.76,21.52,7,9.67,0.1,208,0.86,1096,0.99
V,100,10,15,1.50X,22,1.50X,1,1.16,2.21,-71.05,0.38,11.1,11.1,11.1,22.2,6,9.51,0.1,89,0.95,1005,0.99
V,100,10,15,1.50X,22,1.50X,10,1.19,2.27,-80.83,0.38,10.99,10.99,10.99,21.99,6,12.36,0.12,160,0.91,1143,0.99
V,100,10,15,1.50X,22,1.50X,11,1.15,2.24,-78.66,0.38,10.58,10.58,10.58,21.17,7,10.54,0.11,198,0.89,551,0.99
V,100,10,15,1.50X,22,1.50X,12,1.04,2.11,-82.86,0.38,10.93,10.93,10.93,21.87,6,10.89,0.11,152,0.91,1094,0.99
V,100,10,15,1.50X,22,1.50X,13,1.23,2.39,-77.6,0.38,10.74,10.74,10.74,21.47,5,7.67,0.08,0,0.85,0,0.99
V,100,10,15,1.50X,22,1.50X,14,1.17,2.31,-84.72,0.38,11.09,11.09,11.09,22.18,9,12.66,0.13,278,0.85,506,0.99
V,100,10,15,1.50X,22,1.50X,15,1.09,2.15,-81.73,0.38,10.73,10.73,10.73,21.46,6,10.48,0.1,108,0.93,1864,0.99
V,100,10,15,1.50X,22,1.50X,16,1.16,2.28,-81.59,0.38,10.8,10.8,10.8,21.61,7,9.68,0.1,0,0.92,0,0.99
V,100,10,15,1.50X,22,1.50X,17,1.06,2.06,-53.65,0.38,10.41,10.41,10.41,20.83,6,11.01,0.11,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,18,1.18,2.19,-62.27,0.37,10.6,10.6,10.6,21.2,5,12.35,0.12,5,0.99,1453,0.99
V,100,10,15,1.50X,22,1.50X,19,1.11,2.31,-78.57,0.39,10.9,10.9,10.9,21.81,7,9.14,0.09,384,0.8,848,0.99
V,100,10,15,1.50X,22,1.50X,2,1.12,2.12,-80.91,0.38,10.69,10.69,10.69,21.39,7,12.27,0.12,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,20,1.04,2.05,-58.87,0.37,10.79,10.79,10.79,21.59,5,9,0.09,13,0.98,1795,0.99
V,100,10,15,1.50X,22,1.50X,21,1.02,2.02,-80.77,0.38,11,11,11,21.99,6,10.98,0.11,5,0.99,1190,0.99
V,100,10,15,1.50X,22,1.50X,22,1.1,2.16,-80.59,0.39,10.65,10.65,10.65,21.3,7,11,0.11,114,0.93,1027,0.99
V,100,10,15,1.50X,22,1.50X,23,1.16,2.16,-70.65,0.38,10.27,10.27,10.27,20.53,6,9.84,0.1,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,24,1.19,2.22,-81.54,0.37,11.33,11.33,11.33,22.65,7,11.51,0.12,66,0.96,1599,0.99
V,100,10,15,1.50X,22,1.50X,3,1.1,2.1,-79.7,0.38,10.59,10.59,10.59,21.18,5,11.34,0.11,4,0.99,1996,0.99
V,100,10,15,1.50X,22,1.50X,4,1.13,2.14,-72.22,0.39,10.38,10.38,10.38,20.76,6,9.21,0.09,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,5,1.04,2.13,-75.9,0.37,11.26,11.26,11.26,22.52,7,9.55,0.1,88,0.89,913,0.99
V,100,10,15,1.50X,22,1.50X,6,1.17,2.17,-39.82,0.38,10.38,10.38,10.38,20.75,7,12.37,0.12,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,7,1.09,2.13,-59.89,0.39,10.37,10.37,10.37,20.73,6,11.46,0.11,0,0.99,0,0.99
V,100,10,15,1.50X,22,1.50X,8,1.18,2.27,-77.87,0.38,10.82,10.82,10.82,21.65,5,7.71,0.08,159,0.91,967,0.99
V,100,10,15,1.50X,22,1.50X,9,1.21,2.32,-75.67,0.38,10.96,10.96,10.96,21.92,6,9.26,0.09,184,0.9,1679,0.99
V,200,10,15,1.50X,22,1.50X,0,1.13,2.25,-78.53,0.36,12.15,12.15,12.15,24.3,6,12.86,0.06,161,0.88,1617,0.96
V,200,10,15,1.50X,22,1.50X,1,1,2,-75.42,0.36,12.35,12.35,12.35,24.69,6,13.95,0.07,0,1,0,0.99
V,200,10,15,1.50X,22,1.50X,10,1.09,2.09,-72.58,0.37,11.99,11.99,11.99,23.99,5,12.62,0.06,0,1,0,0.92
V,200,10,15,1.50X,22,1.50X,11,1.01,2.04,-67.02,0.37,11.87,11.87,11.87,23.75,7,14.41,0.07,56,0.97,905,1
V,200,10,15,1.50X,22,1.50X,12,1.15,2.24,-77.72,0.35,12.41,12.41,12.41,24.82,7,16.08,0.08,144,0.91,1054,1
V,200,10,15,1.50X,22,1.50X,13,1.35,2.36,-76.16,0.36,12.17,12.17,12.17,24.35,6,13.23,0.07,2,0.99,1722,0.93
V,200,10,15,1.50X,22,1.50X,14,1.07,2.07,-70.58,0.37,11.85,11.85,11.85,23.71,6,12.23,0.06,0,1,0,1
V,200,10,15,1.50X,22,1.50X,15,1.18,2.25,-72.62,0.37,11.9,11.9,11.9,23.79,6,13.36,0.07,140,0.93,1308,0.98
V,200,10,15,1.50X,22,1.50X,16,1.05,2.06,-74.39,0.36,12.28,12.28,12.28,24.57,6,11.57,0.06,0,0.99,0,0.97
V,200,10,15,1.50X,22,1.50X,17,1.12,2.14,-76.1,0.35,12.5,12.5,12.5,25,5,10.97,0.05,0,0.98,0,1
V,200,10,15,1.50X,22,1.50X,18,1.06,2.06,-72.09,0.37,11.87,11.87,11.87,23.74,5,13.2,0.07,0,1,0,0.98
V,200,10,15,1.50X,22,1.50X,19,1.14,2.14,-71.03,0.36,12.27,12.27,12.27,24.55,5,12.02,0.06,0,1,0,0.99
V,200,10,15,1.50X,22,1.50X,2,1.08,2.08,-67.31,0.36,12.28,12.28,12.28,24.56,6,14.61,0.07,0,0.99,0,0.99
V,200,10,15,1.50X,22,1.50X,20,1.09,2.22,-75.4,0.37,12.14,12.14,12.14,24.28,6,9.16,0.05,192,0.88,868,0.99
V,200,10,15,1.50X,22,1.50X,21,1.01,2.01,-76.57,0.36,12.32,12.32,12.32,24.64,5,11.6,0.06,0,0.99,0,0.99
V,200,10,15,1.50X,22,1.50X,22,1.02,2.17,-87.01,0.36,12.41,12.41,12.41,24.81,6,10.55,0.05,298,0.85,1616,1
V,200,10,15,1.50X,22,1.50X,23,1.18,2.2,-76.03,0.37,12.3,12.3,12.3,24.6,6,11.26,0.06,19,0.98,811,1
V,200,10,15,1.50X,22,1.50X,24,1.06,2.19,-75.56,0.36,12.27,12.27,12.27,24.55,6,9.98,0.05,54,0.86,860,0.97
V,200,10,15,1.50X,22,1.50X,3,1.06,2.15,-76.59,0.36,12.35,12.35,12.35,24.71,7,12.32,0.06,168,0.91,1620,1
V,200,10,15,1.50X,22,1.50X,4,1.08,2.08,-64.11,0.36,11.97,11.97,11.97,23.95,6,12.03,0.06,3,0.99,827,1
V,200,10,15,1.50X,22,1.50X,5,1.06,2.1,-75.15,0.36,12.05,12.05,12.05,24.1,6,14.88,0.07,68,0.96,1496,1
V,200,10,15,1.50X,22,1.50X,6,1.09,2.11,-70.6,0.37,12.1,12.1,12.1,24.2,6,10.9,0.05,39,0.98,1659,0.98
V,200,10,15,1.50X,22,1.50X,7,1.11,2.12,-79.86,0.37,11.85,11.85,11.85,23.7,7,15.67,0.08,11,0.99,892,1
V,200,10,15,1.50X,22,1.50X,8,1.17,2.36,-77.58,0.37,12.11,12.11,12.11,24.22,5,9.27,0.05,372,0.81,1083,1
V,200,10,15,1.50X,22,1.50X,9,1.15,2.17,-77.06,0.36,12.14,12.14,12.14,24.28,6,12.13,0.06,46,0.97,1403,0.98
V,50,10,15,1.50X,22,1.50X,0,1.32,2.43,-72.76,0.41,8.63,8.63,8.63,17.25,5,7.25,0.15,43,0.91,1957,0.98
V,50,10,15,1.50X,22,1.50X,1,1.14,2.14,-60.28,0.4,8.97,8.97,8.97,17.94,6,8.78,0.18,0,0.98,0,0.98
V,50,10,15,1.50X,22,1.50X,10,1.2,2.23,-80.89,0.37,8.87,8.87,8.87,17.74,6,10.53,0.21,0,0.95,0,0.98
V,50,10,15,1.50X,22,1.50X,11,1.12,2.12,-73.92,0.39,8.35,8.35,8.35,16.7,6,8.38,0.17,0,0.98,0,0.98
V,50,10,15,1.50X,22,1.50X,12,1.28,2.36,-78.84,0.41,9.33,9.33,9.33,18.65,6,6.63,0.13,87,0.91,1819,0.98
V,50,10,15,1.50X,22,1.50X,13,1.17,2.2,-79.04,0.42,8.41,8.41,8.41,16.81,6,7.11,0.14,0,0.96,0,0.98
V,50,10,15,1.50X,22,1.50X,14,1.32,2.36,-79.2,0.4,8.82,8.82,8.82,17.63,7,8.16,0.16,0,0.96,0,0.98
V,50,10,15,1.50X,22,1.50X,15,1.29,2.3,-40.76,0.41,8.88,8.88,8.88,17.76,5,8.19,0.16,0,0.97,0,0.98
V,50,10,15,1.50X,22,1.50X,16,1.11,2.13,-78.15,0.41,8.33,8.33,8.33,16.65,6,7.57,0.15,0,0.97,0,0.98
V,50,10,15,1.50X,22,1.50X,17,1.14,2.2,-83.97,0.4,8.7,8.7,8.7,17.4,8,8.84,0.18,132,0.92,1301,0.98
V,50,10,15,1.50X,22,1.50X,18,1.18,2.23,-81.13,0.39,8.23,8.23,8.23,16.46,6,9.91,0.2,0,0.96,0,0.98
V,50,10,15,1.50X,22,1.50X,19,1.11,2.23,-86.14,0.41,9.4,9.4,9.4,18.8,7,7.87,0.16,57,0.88,547,0.98
V,50,10,15,1.50X,22,1.50X,2,1.06,2.37,-79.83,0.4,9.1,9.1,9.1,18.19,6,5.99,0.12,612,0.68,678,0.98
V,50,10,15,1.50X,22,1.50X,20,1.15,2.15,-86.46,0.41,9.05,9.05,9.05,18.1,6,8.74,0.17,0,0.98,0,0.98
V,50,10,15,1.50X,22,1.50X,21,1.18,2.35,-80.94,0.4,9.24,9.24,9.24,18.49,7,6.49,0.13,326,0.81,895,0.98
V,50,10,15,1.50X,22,1.50X,22,1.08,2.09,-84.65,0.4,9.24,9.24,9.24,18.48,6,7.71,0.15,28,0.97,844,0.98
V,50,10,15,1.50X,22,1.50X,23,1.24,2.26,-20.24,0.39,7.8,7.8,7.8,15.61,5,8.64,0.17,1,0.97,1027,0.98
V,50,10,15,1.50X,22,1.50X,24,1.15,2.21,-82.72,0.39,8.68,8.68,8.68,17.37,6,8.9,0.18,124,0.92,1400,0.98
V,50,10,15,1.50X,22,1.50X,3,1.22,2.22,-86.46,0.4,9.14,9.14,9.14,18.27,6,9.17,0.18,2,0.98,280,0.98
V,50,10,15,1.50X,22,1.50X,4,1.08,2.13,-84.24,0.39,8.92,8.92,8.92,17.85,6,7.03,0.14,0,0.95,0,0.98
V,50,10,15,1.50X,22,1.50X,5,1.21,2.37,-81.68,0.39,8.9,8.9,8.9,17.8,7,7.67,0.15,27,0.87,1342,0.98
V,50,10,15,1.50X,22,1.50X,6,1.04,2.09,-78.52,0.39,9.39,9.39,9.39,18.79,8,9.93,0.2,91,0.94,421,0.98
V,50,10,15,1.50X,22,1.50X,7,1.07,2.11,-88.02,0.41,8.72,8.72,8.72,17.44,6,7.31,0.15,79,0.94,1405,0.98
